standardized,pEC50
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=C(F)C=CC=C2F)=N1,9.091514981
COC1=C(N2C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)C=N3)=NN=C2C2=CN=CC(C)=C2)C(F)=CC=C1,9.180456064
COC1=C(N2C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)=NN=C2C2=CN=CC(C)=C2)C(F)=CC=C1,8.698970004
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2CCC2)=NN=C1C1=CN=CC(C)=C1,7.356547324
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C3CC(F)(F)C3)N2C2=C(OC)C=CC=C2OC)=N1,7.455931956
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2CC(F)(F)C2)=NN=C1C1=CN=CC(C)=C1,6.657577319
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2CC(C)(C)C2)=NN=C1C1=NN=CC(C)=C1,7.443697499
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2CC(C)(C)C2)=NN=C1C1=CN=CC(C)=C1,8.124938737
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CC(Br)=CN=C1,9.37675071
CCOC(C1=NC=C(C)C=N1)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC(C)=C2)N1C1=C(F)C=CC=C1F,8.236572006
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC(C)C)C2=NC=C(Cl)C=C2)=NN=C1C1=CN=CC(C)=C1,7.585026652
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(OC(F)F)C=CC=C2OC(F)F)N=C1,9.148741651
CC#CC(O)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC(C)=C2)N1C1=C(OC)C=CC=C1OC,7.568636236
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)N=C2)=NN=C1C1=CC=CC=N1,8.086186148
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CC=CC=N1,8.677780705
CC1=CN=C(C(C)C(C)S(=O)(=O)NC2=NN=C(C3=CC=CC(C)=N3)N2C2=C(F)C=CC=C2F)N=C1,8.37675071
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(C)C=N3)N2C2=C(F)C=CC=C2F)=N1,9.397940009
